Filename,DAPI,meanDapi,FOS,meanFOS,ratio
_5CA_PL_1-6L_,2479,2559.333333,23,152.3333333,5.952070852
_5CA_PL_1-6R_,2244,,23,,
_5CA_PL_1-7L_,2483,,15,,
_5CA_PL_1-7R_,2262,,43,,
_5CA_PL_2-1L_,3100,,69,,
_5CA_PL_2-1R_,2788,,741,,
_5CE_PL_2-1L_,2395,2450.5,45,63.75,2.601509896
_5CE_PL_2-1R_,2363,,54,,
_5CE_PL_2-3L_,2503,,85,,
_5CE_PL_2-3R_,2541,,71,,
